log_num,input size,layers,number epochs,step per epoch,accuracy,loss,validation accuracy,validation loss
207,200,[64 128 256 512],40,300,0.969336,0.071998,0.928517,0.199097
208,200,[64 128 256 512],50,300,0.972959,0.063519,0.931171,0.222821
209,200,[64 128 256 512],60,300,0.975872,0.056835,0.932765,0.233336
210,400,[32 64 128 256],10,300,0.92386,0.18741,0.887631,0.265888
211,400,[32 64 128 256],20,300,0.94339,0.13869,0.913168,0.21492
212,400,[32 64 128 256],30,300,0.953684,0.113135,0.919689,0.205043
213,400,[32 64 128 256],40,300,0.959844,0.095854,0.925124,0.196838
214,400,[32 64 128 256],50,300,0.964357,0.084519,0.92974,0.194469
215,200,[32 64 128 256],30,300,0.950744,0.120671,0.92179,0.20458
216,400,[32 64 128 256],60,300,0.967677,0.07567,0.930462,0.197546
217,400,[32 64 128 256],10,300,0.91883,0.19676,0.89896,0.244246
218,400,[32 64 128 256],20,300,0.942725,0.141686,0.91553,0.211611
219,400,[32 64 128 256],30,300,0.952471,0.115934,0.9237,0.19779
220,400,[32 64 128 256],40,300,0.958229,0.100176,0.92788,0.202653
221,400,[32 64 128 256],50,300,0.962538,0.088407,0.92741,0.22041
222,400,[32 64 128 256],60,300,0.966011,0.079582,0.92816,0.214832
223,400,[64 128 256 512],10,300,0.93421,0.15888,0.909302,0.226393
224,400,[64 128 256 512],20,300,0.956037,0.10668,0.927803,0.18394
225,400,[64 128 256 512],30,300,0.965656,0.081481,0.929009,0.189815
226,200,[32 64 128 256],40,300,0.957784,0.102269,0.92785,0.202255
227,400,[64 128 256 512],40,300,0.97034,0.069457,0.934626,0.183201
228,400,[64 128 256 512],50,300,0.974662,0.058838,0.936175,0.205056
229,400,[64 128 256 512],60,300,0.977781,0.0518,0.935984,0.217609
230,400,[64 128 256 512],10,300,0.93673,0.15416,0.908598,0.225016
231,400,[64 128 256 512],20,300,0.95615,0.10494,0.925326,0.190336
232,400,[64 128 256 512],30,300,0.96526,0.0823,0.932276,0.189437
233,400,[64 128 256 512],40,300,0.970183,0.069616,0.933164,0.205191
234,400,[64 128 256 512],50,300,0.973736,0.061173,0.935953,0.209287
235,400,[64 128 256 512],60,300,0.97731,0.05275,0.936774,0.210819
236,200,[32 64 128 256],50,300,0.962325,0.090521,0.924348,0.201137
237,200,[32 64 128 256],60,300,0.965549,0.081846,0.927257,0.205584
238,200,[32 64 128 256],10,300,0.92194,0.1915,0.89708,0.247664
239,200,[32 64 128 256],20,300,0.94219,0.140956,0.910254,0.22881
240,200,[32 64 128 256],30,300,0.953424,0.112964,0.917513,0.21328
241,200,[64 128 256 512],10,300,0.932792,0.17649,0.90356,0.234266
242,200,[64 128 256 512],20,300,0.954513,0.11552,0.920271,0.19953
243,200,[64 128 256 512],30,300,0.964157,0.08781,0.928341,0.200356
244,200,[64 128 256 512],40,300,0.971187,0.069115,0.929879,0.207974
245,200,[64 128 256 512],50,300,0.975466,0.058223,0.928672,0.226404
246,200,[64 128 256 512],60,300,0.978143,0.051913,0.93118,0.218169
247,200,[64 128 256 512],70,300,0.98053,0.046085,0.93195,0.236297
248,200,[64 128 256 512],80,300,0.983299,0.039359,0.932089,0.26367
249,200,[64 128 256 512],90,300,0.984607,0.036154,0.931527,0.275421
250,200,[128 256 512 1024],10,300,0.93269,0.17001,0.91597,0.213708
251,200,[128 256 512 1024],20,300,0.957232,0.105714,0.92703,0.187344
252,200,[128 256 512 1024],30,300,0.96745,0.07817,0.931557,0.191091
253,200,[128 256 512 1024],40,300,0.9737,0.06233,0.932096,0.209179
254,200,[128 256 512 1024],50,300,0.97893,0.04966,0.93433,0.201433
255,200,[128 256 512 1024],60,300,0.982642,0.041216,0.9349,0.220406
256,200,[128 256 512 1024],70,300,0.985186,0.034816,0.93594,0.247506
257,200,[128 256 512 1024],80,300,0.987123,0.03013,0.937292,0.248885
258,200,[128 256 512 1024],90,300,0.988684,0.02651,0.937468,0.284385
259,400,[64 128 256 512],10,300,0.93721,0.1649,0.90764,0.223068
260,400,[64 128 256 512],20,300,0.95918,0.10215,0.91956,0.19572
261,400,[64 128 256 512],30,300,0.9679,0.07718,0.927376,0.199328
262,400,[64 128 256 512],40,300,0.97364,0.06256,0.931483,0.201249
263,400,[64 128 256 512],50,300,0.97765,0.05271,0.933281,0.21319
